"iteration","open_ms","private_mb","working_mb"
"1","25.078","28.37","56.52"
"2","3.643","28.37","56.52"
"3","4.49","28.37","56.52"
"4","3.791","28.37","56.52"
"5","3.216","28.37","56.52"
"6","3.489","28.37","56.52"
"7","2.948","28.37","56.52"
"8","2.848","28.37","56.52"
"9","2.858","28.37","56.52"
"10","2.912","28.37","56.52"
"11","2.948","28.37","56.52"
"12","2.951","28.37","56.52"
"13","3.132","28.37","56.52"
"14","2.89","28.37","56.52"
"15","3.242","28.37","56.52"
"16","2.887","28.37","56.52"
"17","3.85","28.37","56.52"
"18","2.821","28.37","56.52"
"19","2.799","28.37","56.52"
"20","2.927","28.37","56.52"
"21","3.006","28.37","56.52"
"22","2.764","28.37","56.52"
"23","2.936","28.37","56.52"
"24","2.924","28.37","56.52"
"25","2.901","28.37","56.52"
"26","2.835","28.37","56.52"
"27","2.882","28.37","56.52"
"28","3.64","28.37","56.52"
"29","3.032","28.37","56.52"
"30","3.099","28.37","56.52"
"31","2.907","28.37","56.52"
"32","3.266","28.37","56.52"
"33","3.053","28.37","56.52"
"34","3.082","28.37","56.52"
"35","2.838","28.37","56.52"
"36","2.925","28.37","56.52"
"37","3.138","28.37","56.52"
"38","2.971","28.37","56.52"
"39","2.867","28.37","56.52"
"40","2.898","28.37","56.52"
"41","3.054","28.37","56.52"
"42","2.97","28.37","56.52"
"43","2.842","28.28","56.47"
"44","2.912","28.28","56.48"
"45","2.756","28.28","56.48"
"46","2.833","28.28","56.48"
"47","3.236","28.28","56.48"
"48","3.032","28.28","56.48"
"49","3.001","28.28","56.48"
"50","2.899","28.28","56.48"
"51","3.163","28.28","56.48"
"52","2.845","28.28","56.48"
"53","3.011","28.28","56.48"
"54","2.857","28.28","56.48"
"55","2.929","28.28","56.48"
"56","3.181","28.28","56.48"
"57","2.936","28.28","56.48"
"58","2.837","28.28","56.48"
"59","3.1","28.28","56.48"
"60","2.852","28.28","56.48"
"61","3.194","28.28","56.48"
"62","2.867","28.28","56.48"
"63","2.748","28.28","56.48"
"64","2.952","28.28","56.48"
"65","2.961","28.28","56.48"
"66","2.991","28.28","56.48"
"67","3.017","28.28","56.48"
"68","3.568","28.28","56.48"
"69","2.699","28.28","56.48"
"70","3.062","28.28","56.48"
"71","2.945","28.28","56.48"
"72","2.907","28.28","56.48"
"73","2.718","28.28","56.48"
"74","2.823","28.28","56.48"
"75","2.79","28.28","56.48"
"76","2.809","28.28","56.48"
"77","2.764","28.28","56.48"
"78","3.014","28.28","56.48"
"79","2.887","28.28","56.48"
"80","2.886","28.28","56.48"
"81","4.723","28.28","56.48"
"82","2.821","28.28","56.48"
"83","2.916","28.28","56.48"
"84","2.97","28.28","56.48"
"85","2.81","28.28","56.48"
"86","2.961","28.28","56.48"
"87","2.808","28.28","56.48"
"88","2.964","28.28","56.48"
"89","2.802","28.28","56.48"
"90","3.566","28.28","56.48"
"91","2.808","28.28","56.48"
"92","3.19","28.28","56.48"
"93","2.852","28.28","56.48"
"94","3.006","28.28","56.48"
"95","2.858","28.28","56.48"
"96","2.977","28.28","56.48"
"97","2.861","28.28","56.48"
"98","2.852","28.28","56.48"
"99","2.844","28.28","56.48"
"100","3.018","28.28","56.48"
